[07:03:38] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[07:03:41] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[07:03:41] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[07:03:41] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[07:03:41] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[07:03:41] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[07:03:41] [main/INFO]: Reloading ResourceManager: Default
[07:03:45] [Worker-Main-2/INFO]: Loaded 7 recipes
[07:03:46] [Worker-Main-2/INFO]: Loaded 1137 advancements
[07:03:52] [Server thread/INFO]: Starting minecraft server version 1.17.1
[07:03:52] [Server thread/INFO]: Loading properties
[07:03:52] [Server thread/INFO]: Default game type: SURVIVAL
[07:03:52] [Server thread/INFO]: Generating keypair
[07:03:52] [Server thread/INFO]: Starting Minecraft server on *:25566
[07:03:53] [Server thread/INFO]: Using epoll channel type
[07:03:53] [Server thread/INFO]: Preparing level "world"
[07:03:53] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[07:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:03:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[07:04:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
